Shyvana,1,159,,"12/4/16, 7:17 PM",,"1,641"
Skarner,1,156,,"12/4/16, 7:55 PM",,"1,644"
Nidalee,1,125,,"6/14/17, 10:49 PM",,"1,675"
Morgana,1,121,,"7/14/17, 8:22 PM",,"1,679"
Annie,1,120,,"1/21/17, 1:06 PM",,"1,680"
Galio,1,109,,"1/21/17, 12:42 PM",,"1,691"
Xin Zhao,1,107,,"1/11/18, 9:38 PM",,"1,693"
Elise,1,104,,"10/19/17, 8:56 PM",,"1,696"
Azir,1,99,,"11/6/17, 8:37 PM",,"1,701"
Kai'Sa,1,96,,"8/20/18, 8:52 PM",,"1,704"
Kled,1,95,,"12/14/18, 7:06 PM",,"1,705"
LeBlanc,1,77,,"6/6/18, 3:39 AM",,"1,723"
Blitzcrank,7,"50,274",,"7/30/23, 10:31 PM",Mastered,
Yone,7,"85,166",,"7/30/23, 10:00 PM",Mastered,
Draven,7,"128,602",,"7/29/23, 9:09 PM",Mastered,
Master Yi,7,"31,084",,"7/29/23, 8:02 PM",Mastered,
Karthus,7,"44,087",,"7/1/23, 3:39 PM",Mastered,
Vladimir,2,"3,593",,"6/28/23, 1:53 PM",,"2,407"
Bel'Veth,1,"1,078",,"6/19/23, 5:35 PM",,722
Tryndamere,5,"23,203",,"6/18/23, 10:20 PM",,
Pyke,1,316,,"4/7/23, 9:22 PM",,"1,484"
Jax,4,"20,877",,"3/20/23, 10:47 PM",,723
Mordekaiser,1,"1,266",,"2/20/23, 11:04 PM",,534
Darius,2,"3,668",,"2/18/23, 11:27 PM",,"2,332"
Tristana,2,"2,333",,"2/11/23, 12:46 PM",,"3,667"
Xerath,1,310,,"5/21/17, 8:06 PM",,"1,490"
Kennen,1,"1,275",,"5/21/17, 6:11 PM",,525
Kalista,5,"22,811",,"5/18/17, 2:35 PM",,
Katarina,1,901,,"4/11/17, 8:17 AM",,899
Warwick,3,"6,853",,"4/11/17, 7:46 AM",,"5,747"
Olaf,1,168,,"3/11/17, 11:31 PM",,"1,632"
Maokai,1,814,,"3/11/17, 11:03 PM",,986
Fiora,2,"5,116",,"2/26/17, 5:03 PM",,884
Brand,1,"1,117",,"12/2/16, 12:37 AM",,683
Ryze,2,"3,507",,"12/1/16, 11:39 PM",,"2,493"
Rengar,3,"10,126",,"11/30/16, 12:30 AM",,"2,474"
Anivia,2,"3,096",,"9/21/16, 8:54 PM",,"2,904"
